,customer_id,gender,DateOfBirth,State,Contact,Segment,claim_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,flag
202,74840885,Female,1966-05-09,IA,149-458-3751,Platinum,73800450,Crime,2018-03-14,Home,Unknown,Material only,2060.0,5,No,0
203,95719884,Female,1989-11-26,CT,759-157-6329,Platinum,14457951,Crime,2017-05-22,Auto,Unknown,Material only,1020.0,1,No,0
204,22856223,Female,1963-08-07,AR,728-953-8257,Platinum,82692173,Other causes,2017-04-12,Auto,No,Material and injury,40660.0,1,No,1
205,26965990,Female,1998-12-14,NH,823-634-8723,Platinum,2262550,Other causes,2017-02-23,Auto,Unknown,Material only,2310.0,1,No,0
206,48447568,Male,1962-06-26,CT,294-936-9134,Gold,91210035,Driver error,2017-10-24,Auto,No,Material and injury,15920.0,1,No,1
207,16102401,Male,1996-10-07,CT,148-543-1362,Silver,19333178,Driver error,2017-08-18,Home,Yes,Material only,2710.0,1,No,1
208,26448215,Female,1983-03-10,CT,765-438-8462,Silver,36685947,Natural causes,2017-02-03,Auto,No,Material only,2290.0,1,No,1
209,40922910,Male,1963-09-12,IN,246-527-5983,Gold,84933468,Other driver error,2017-02-03,Auto,No,Material only,1180.0,4,No,1
210,43293983,Female,1989-08-12,NM,356-724-4721,Gold,61672806,Other causes,2017-08-11,Auto,No,Material only,3059.0,1,Yes,1
211,51195864,Female,1971-11-24,ND,831-136-3859,Gold,1189987,Other driver error,2017-09-20,Auto,Unknown,Material only,1630.0,2,No,0
212,36395486,Male,1971-03-06,ND,365-482-4683,Gold,43722644,Other causes,2017-01-07,Home,No,Material only,3335.0,3,Yes,1
213,32850276,Male,1963-10-29,ME,893-673-8192,Platinum,24499353,Natural causes,2018-10-09,Home,No,Material only,1580.0,1,No,1
214,94041088,Male,1990-07-16,NM,815-641-3516,Silver,70086627,Natural causes,2017-12-10,Home,Unknown,Material only,2645.0,1,Yes,0
215,90718924,Male,1970-09-30,ME,185-286-2134,Silver,97233183,Other causes,2017-01-21,Home,No,Material and injury,27560.0,1,No,1
216,51278451,Female,1982-04-23,NJ,597-396-2931,Gold,70332189,Other driver error,2018-03-01,Auto,Unknown,Material and injury,20660.0,1,No,0
217,16868327,Male,1968-02-14,VT,426-293-4958,Silver,3883874,Driver error,2017-01-14,Auto,No,Material only,1400.0,1,No,1
218,32269248,Female,1971-06-27,NE,574-857-9387,Gold,94714143,Other driver error,2018-07-07,Auto,Yes,Injury only,30350.0,1,No,1
219,35410919,Female,1995-05-07,AZ,862-765-3425,Silver,22295924,Crime,2017-06-04,Auto,No,Material only,1740.0,3,No,1
220,20716946,Female,1981-06-10,KY,526-579-6814,Platinum,80976947,Other driver error,2018-03-21,Auto,No,Material and injury,21830.0,1,No,1
221,90102508,Male,1985-07-25,AZ,794-134-3864,Gold,93075008,Natural causes,2018-03-28,Auto,No,Material only,1280.0,1,No,1
222,40744509,Male,1999-09-18,MD,746-571-4539,Gold,46968995,Other causes,2017-06-25,Auto,No,Material and injury,34770.0,4,No,1
223,51460517,Male,1969-12-25,ND,925-214-7481,Gold,23840141,Other causes,2017-06-18,Auto,Unknown,Material only,1391.5,1,Yes,0
224,9677945,Female,1987-05-28,SC,849-461-6419,Platinum,5694962,Other causes,2018-09-26,Auto,No,Material only,1520.0,1,No,1
225,34297743,Female,1976-03-17,WI,726-673-6513,Platinum,3485777,Natural causes,2017-07-28,Auto,No,Material only,1700.0,1,No,1
226,17682060,Female,1974-11-21,NV,186-195-3465,Gold,49735712,Crime,2018-10-30,Home,Unknown,Material and injury,17020.0,1,No,0
227,29750601,Female,1995-10-28,RI,652-976-9723,Platinum,718760,Other driver error,2017-10-24,Auto,Unknown,Injury only,31980.0,1,No,0
228,97698815,Male,1977-05-06,OH,352-765-2183,Gold,81849361,Natural causes,2017-02-17,Auto,Unknown,Material only,1860.0,1,No,0
229,28920170,Male,1962-07-18,ID,498-547-6829,Silver,19639145,Crime,2017-11-13,Auto,No,Material and injury,41365.5,1,Yes,1
230,55572419,Female,1965-05-31,CO,728-934-9134,Gold,6535473,Other causes,2017-05-09,Auto,Yes,Injury only,27520.0,1,No,1
231,77219712,Female,1999-08-05,NH,649-592-8793,Platinum,61374372,Other causes,2017-01-01,Auto,No,Material and injury,20200.0,1,No,1
232,39286853,Female,1993-06-23,ND,829-753-4352,Platinum,24759210,Other driver error,2018-10-03,Auto,Unknown,Injury only,35830.0,1,No,0
233,47226965,Male,1995-06-27,MN,935-251-3941,Platinum,6795457,Driver error,2017-09-07,Auto,No,Material only,2600.0,4,No,1
234,68757979,Female,1964-06-07,KY,835-238-5426,Platinum,27087847,Natural causes,2017-10-31,Auto,No,Material only,2410.0,1,No,1
235,69956308,Female,1981-02-09,AL,934-541-3417,Gold,93818470,Natural causes,2018-01-13,Auto,Yes,Material only,3312.0,4,Yes,1
236,47603757,Female,1996-08-09,NE,214-247-6582,Platinum,65784642,Driver error,2018-04-24,Auto,No,Material only,2980.0,1,No,1
237,83534717,Male,1965-05-17,MI,732-632-3689,Silver,98203403,Natural causes,2017-04-12,Auto,No,Material only,1680.0,1,No,1
238,40480522,Female,1984-05-30,NV,739-259-6835,Gold,52377605,Driver error,2018-10-30,Auto,Unknown,Material and injury,26310.0,1,No,0
239,86597605,Female,1962-04-21,ME,794-584-3826,Gold,79350008,Driver error,2017-09-27,Auto,No,Material and injury,37400.0,1,No,1
240,7829022,Male,1980-08-12,ND,964-432-2841,Platinum,35620656,Driver error,2017-11-13,Auto,No,Material only,2320.0,1,No,1
241,77985379,Female,1984-05-20,MD,619-412-8295,Platinum,95022138,Other driver error,2017-07-01,Auto,Yes,Material and injury,27610.0,2,No,1
242,2826434,Female,1994-11-25,MN,863-274-1853,Platinum,24834777,Driver error,2017-04-25,Home,No,Injury only,22100.0,1,No,1
243,16548727,Female,1984-11-11,ND,475-651-3249,Platinum,94426134,Other causes,2017-11-06,Auto,Yes,Material only,1080.0,3,No,1
244,94267140,Male,1967-10-07,MO,765-672-8396,Gold,67394855,Other driver error,2017-04-12,Auto,No,Material only,1590.0,1,No,1
245,5637733,Male,1964-05-27,ID,567-617-1874,Platinum,15859475,Crime,2017-10-10,Auto,Unknown,Material only,2170.0,1,No,0
246,684748,Male,1977-08-03,AK,613-385-2863,Gold,7238381,Other driver error,2018-07-14,Auto,No,Material only,2920.0,2,No,1
247,65047878,Female,1979-08-23,SD,593-329-6298,Silver,27131115,Natural causes,2017-02-03,Auto,Unknown,Material only,1679.0,4,Yes,0
248,84614509,Male,1981-01-14,WI,576-536-8742,Silver,63175077,Driver error,2018-06-23,Home,Unknown,Injury only,18308.0,1,Yes,0
249,93766634,Female,1970-09-20,OH,871-813-4512,Gold,4869668,Other causes,2018-06-23,Auto,No,Injury only,16940.0,1,No,1
250,68712439,Male,1990-08-17,WI,397-361-3286,Platinum,29078722,Other driver error,2018-06-17,Home,No,Material only,1600.0,1,No,1
251,88785895,Male,1977-04-24,CO,549-729-2915,Gold,62679663,Driver error,2018-02-22,Auto,Unknown,Material and injury,39307.0,1,Yes,0
252,33924586,Female,1976-03-28,MA,187-187-9648,Silver,29981557,Natural causes,2018-04-04,Auto,Unknown,Material and injury,28750.0,1,No,0
253,1852176,Male,1967-06-23,PA,563-749-5436,Platinum,59259291,Driver error,2018-04-17,Auto,Unknown,Material only,1510.0,1,No,0
254,58107776,Female,1974-06-26,HI,794-819-7165,Silver,35839635,Other driver error,2017-04-25,Auto,Yes,Material only,1030.0,1,No,1
255,30743608,Male,1990-02-19,DE,541-523-1263,Gold,46356995,Other causes,2017-03-22,Auto,No,Material only,2714.0,1,Yes,1
256,50530333,Male,1999-05-22,WA,152-152-9356,Silver,44524224,Crime,2017-06-04,Auto,Unknown,Material only,2415.0,3,Yes,0
257,29282358,Female,1985-10-05,NE,291-953-5768,Gold,56720636,Other driver error,2018-01-13,Auto,No,Material and injury,39280.0,2,No,1
258,55375167,Male,1969-03-30,NE,245-617-1348,Silver,5854580,Crime,2017-04-05,Home,Unknown,Material only,1403.0,3,Yes,0
259,37692329,Male,1992-05-28,LA,195-175-4275,Platinum,24230132,Driver error,2018-08-16,Auto,No,Material and injury,34300.0,1,No,1
260,2753882,Female,1994-10-12,CA,739-738-7493,Platinum,13479108,Natural causes,2017-07-01,Auto,No,Material only,2650.0,1,No,1
261,88219691,Female,1994-10-27,NJ,298-359-2684,Silver,63532473,Other causes,2017-09-14,Auto,No,Injury only,23960.0,1,No,1
262,67722830,Male,1973-11-30,TN,674-654-7168,Platinum,25246596,Driver error,2017-08-04,Auto,No,Material only,1529.5,3,Yes,1
263,11321295,Male,1965-11-13,DE,429-596-2169,Platinum,31574986,Driver error,2017-02-03,Auto,No,Material only,2460.0,2,No,1
264,28502965,Female,1966-09-11,DE,598-625-9431,Silver,6267263,Natural causes,2017-10-10,Auto,No,Material only,1620.0,1,No,1
265,51782731,Male,1989-12-18,PA,728-916-1287,Silver,99444302,Other driver error,2017-02-03,Home,Unknown,Material only,2790.0,1,No,0
266,76395629,Male,1972-01-29,ID,812-836-7854,Silver,75651365,Other causes,2017-01-27,Auto,No,Material only,1210.0,1,No,1
267,20960664,Female,1987-10-28,VT,276-719-1489,Platinum,18499217,Natural causes,2018-08-10,Auto,Yes,Injury only,19676.5,1,Yes,1
268,79683883,Male,1985-09-30,WY,194-892-7628,Gold,56848907,Other driver error,2017-09-07,Auto,No,Material and injury,27266.5,1,Yes,1
269,33388786,Female,1982-04-13,MO,182-164-7386,Gold,30755644,Other causes,2017-04-18,Auto,Yes,Injury only,33590.0,2,No,1
270,52361935,Male,1995-03-27,MI,925-931-3164,Silver,2741337,Natural causes,2017-10-17,Auto,Yes,Material only,2840.0,1,No,1
271,97038550,Female,1973-10-08,FL,963-613-5369,Platinum,86070727,Other driver error,2018-02-22,Home,Unknown,Material and injury,16790.0,1,No,0
272,25911554,Female,1998-06-21,IN,321-235-9236,Gold,2913034,Natural causes,2018-06-03,Auto,No,Material only,1322.5,3,Yes,1
273,43834942,Female,1980-09-08,ND,281-286-8362,Gold,74906328,Natural causes,2017-07-01,Auto,Yes,Material and injury,19900.0,1,No,1
274,17242900,Male,1982-03-27,NM,472-435-3847,Platinum,95114913,Crime,2017-11-13,Auto,No,Material only,2440.0,1,No,1
275,54094880,Male,1984-06-01,DE,568-481-7418,Silver,34621474,Other driver error,2017-02-17,Auto,No,Material only,1529.5,1,Yes,1
276,59809467,Female,1987-12-03,IN,231-893-6274,Silver,52223434,Other driver error,2018-05-28,Auto,Unknown,Material only,12467.68,1,Yes,0
277,62204138,Female,1989-12-15,DE,471-934-4961,Platinum,93028492,Driver error,2017-10-31,Auto,Unknown,Material only,2691.0,1,Yes,0
278,93993324,Male,1964-02-23,WI,853-261-1783,Gold,76384782,Driver error,2017-06-04,Auto,No,Material only,3128.0,1,Yes,1
279,84995304,Female,1985-05-05,GA,347-765-3861,Silver,79219792,Other driver error,2018-08-30,Home,Unknown,Material only,3036.0,1,Yes,0
280,70955654,Female,1992-08-23,IL,867-154-5847,Silver,25014071,Crime,2017-10-04,Home,No,Material only,1173.0,1,Yes,1
281,43274276,Female,1977-04-22,OR,829-634-2537,Silver,86017636,Other driver error,2018-02-15,Auto,No,Material only,1200.0,4,No,1
282,23236713,Male,1994-01-24,OK,564-237-8963,Silver,45535504,Driver error,2018-03-14,Auto,Yes,Injury only,29960.0,1,No,1
283,76501371,Male,1976-02-14,NY,341-346-8795,Silver,80169462,Driver error,2018-02-15,Auto,Unknown,Material only,1970.0,1,No,0
284,56554262,Male,1982-10-26,ND,142-258-9876,Silver,42474249,Other causes,2018-10-09,Auto,No,Material only,2090.0,1,No,1
285,48123202,Female,1998-12-31,AL,932-672-6327,Gold,4567648,Other driver error,2017-08-31,Auto,No,Material only,2640.0,1,No,1
286,93915431,Male,1967-09-08,ME,134-785-1687,Gold,99775483,Other causes,2018-10-30,Auto,No,Material and injury,42124.5,1,Yes,1
287,38560100,Female,1973-11-01,IL,586-724-1493,Platinum,8322480,Other driver error,2017-03-16,Auto,No,Injury only,21330.0,3,No,1
288,31544049,Male,1971-06-04,KS,672-351-1964,Silver,83960449,Driver error,2017-11-27,Auto,Unknown,Material only,1817.0,1,Yes,0
289,68615086,Male,1980-11-12,VT,326-937-6952,Platinum,66563034,Driver error,2018-07-07,Auto,No,Material and injury,17670.0,1,No,1
290,55535045,Male,1994-08-11,AR,164-539-3948,Gold,95437929,Driver error,2017-04-05,Auto,No,Material only,1110.0,1,No,1
291,17988592,Male,1999-12-16,NM,472-186-4937,Platinum,94981713,Other causes,2017-07-28,Auto,No,Material and injury,32407.0,1,Yes,1
292,4883962,Male,1972-01-20,FL,478-721-9743,Platinum,59593960,Driver error,2017-07-15,Auto,Yes,Material only,1460.0,1,No,1
293,33812279,Male,1991-07-17,KS,621-297-6317,Platinum,4367748,Other causes,2017-05-22,Auto,Yes,Injury only,41779.5,1,Yes,1
294,81854173,Male,1993-03-13,CO,743-429-8173,Gold,96241162,Other driver error,2017-05-09,Auto,Unknown,Material only,1850.0,1,No,0
295,24579061,Female,1967-11-24,IN,763-365-2837,Platinum,11682102,Natural causes,2017-01-07,Auto,No,Material only,1770.0,1,No,1
296,29478976,Male,1983-10-06,MO,964-768-7924,Gold,26104084,Crime,2018-05-21,Auto,No,Material only,1160.0,1,No,1
297,10462042,Female,1964-06-06,WA,351-316-3172,Platinum,38641457,Other causes,2018-08-03,Home,No,Material only,2410.0,1,No,1
298,52265112,Female,1987-08-21,MA,251-361-5218,Gold,51316495,Other driver error,2017-06-11,Auto,No,Material only,1520.0,2,No,1
299,53900680,Male,1999-03-06,MA,591-168-3457,Silver,68533229,Other causes,2017-03-29,Home,Yes,Material and injury,33900.0,2,No,1
300,69784779,Female,1990-08-20,IA,521-358-6847,Platinum,70210720,Other driver error,2018-05-21,Auto,Yes,Material and injury,28740.0,1,No,1
301,26810768,Female,1987-07-02,WA,387-791-4125,Platinum,38508652,Other causes,2017-07-01,Auto,No,Material and injury,23980.0,3,No,1
302,82637319,Male,1999-03-17,KY,647-375-9124,Platinum,10080081,Other causes,2017-10-31,Auto,Unknown,Material only,1184.5,1,Yes,0
303,69546065,Male,1994-06-12,PA,641-659-5972,Platinum,6515806,Crime,2017-06-18,Auto,Unknown,Material only,2104.5,1,Yes,0
304,67427492,Female,1992-11-01,MN,693-794-2741,Silver,2056210,Driver error,2017-05-29,Auto,No,Material only,1040.0,1,No,1
305,18213216,Male,1969-10-06,KY,416-461-9145,Silver,2581621,Other causes,2018-09-12,Auto,Unknown,Material and injury,21942.0,2,Yes,0
306,98204394,Male,1968-12-06,VA,685-823-5284,Silver,25688619,Driver error,2017-02-10,Home,Unknown,Material only,1550.0,6,No,0
307,63413368,Male,1966-09-01,VA,958-159-2173,Silver,43680480,Driver error,2018-06-30,Auto,No,Material only,1740.0,2,No,1
308,91136854,Female,1998-04-07,WI,943-194-1759,Silver,14698666,Other driver error,2018-01-06,Auto,No,Material only,2240.0,4,No,1
309,11187680,Female,1974-10-11,CO,841-732-5392,Silver,18917146,Other driver error,2017-03-29,Auto,Unknown,Material only,2440.0,1,No,0
310,88205075,Male,1973-06-03,VA,631-658-1329,Platinum,82224237,Other causes,2017-03-16,Auto,Unknown,Injury only,16460.0,1,No,0
311,40728123,Male,1977-07-03,UT,298-863-2514,Platinum,52339239,Other causes,2017-02-10,Auto,No,Material only,2590.0,1,No,1
312,65176092,Male,1975-11-23,NC,651-379-2486,Silver,9476314,Other causes,2017-01-01,Auto,No,Material and injury,37290.0,3,No,1
313,84229777,Female,1976-03-18,TN,728-184-5376,Platinum,56133273,Natural causes,2017-08-11,Auto,No,Material only,3128.0,1,Yes,1
314,76093960,Female,1984-06-23,OK,867-923-3798,Silver,79752814,Other causes,2017-05-29,Auto,Unknown,Material only,2700.0,2,No,0
315,36994344,Male,1975-12-16,ME,673-618-4586,Silver,71517851,Natural causes,2018-07-27,Auto,No,Material only,2280.0,1,No,1
316,68043300,Male,1993-06-03,MN,687-879-7692,Platinum,29519925,Other driver error,2018-03-21,Auto,Unknown,Material only,2656.5,1,Yes,0
317,28901669,Female,1981-05-28,MT,798-435-4862,Silver,2980099,Crime,2018-02-02,Auto,Yes,Injury only,35178.5,1,Yes,1
318,86916099,Female,1969-03-15,ME,386-156-9384,Gold,59959117,Other driver error,2017-04-05,Auto,No,Injury only,19390.0,1,No,1
319,29826894,Female,1991-01-06,AZ,124-198-8153,Silver,87350000,Other driver error,2017-11-06,Auto,No,Material only,2730.0,5,No,1
320,79637467,Male,1971-03-27,IA,736-694-8274,Gold,87230026,Other causes,2017-02-17,Auto,Yes,Injury only,16700.0,1,No,1
321,36632227,Female,1960-06-09,GA,369-589-9865,Silver,9588683,Other driver error,2017-03-09,Auto,Unknown,Material only,2886.5,1,Yes,0
322,77510822,Female,1986-03-18,AK,436-934-7156,Silver,87329176,Other driver error,2018-10-30,Auto,Unknown,Material only,12467.68,2,No,0
323,2651069,Male,1999-03-09,AL,681-981-1478,Gold,3329988,Other driver error,2017-09-07,Auto,No,Material only,1932.0,1,Yes,1
324,8150738,Female,1987-12-06,NH,842-127-7916,Platinum,72207767,Natural causes,2018-05-01,Auto,Unknown,Material only,2210.0,1,No,0
325,67268108,Male,1973-10-18,FL,159-192-1758,Platinum,96723243,Other driver error,2018-03-08,Auto,Yes,Material and injury,41280.0,2,No,1
326,53907868,Male,1978-02-07,WA,768-578-9871,Platinum,14024069,Other causes,2018-04-17,Auto,Unknown,Material and injury,26620.0,1,No,0
327,86246733,Male,1982-07-17,MN,248-471-2985,Gold,74762827,Driver error,2017-12-10,Auto,Unknown,Material and injury,26520.0,2,No,0
328,45568489,Female,1967-11-03,OH,826-463-4186,Silver,78826857,Other driver error,2017-05-09,Auto,Yes,Material and injury,14480.0,3,No,1
329,28032985,Female,1964-12-10,NM,926-817-6247,Gold,96335300,Other causes,2017-03-02,Auto,No,Material only,1800.0,2,No,1
330,33210182,Male,1989-11-09,CA,387-759-2586,Platinum,45953414,Crime,2018-01-13,Auto,Yes,Material only,2020.0,1,No,1
331,24731784,Female,1980-10-17,DE,169-631-1283,Silver,81667658,Natural causes,2018-07-07,Auto,No,Material only,1260.0,1,No,1
332,36126424,Female,1981-02-11,ME,398-768-5283,Platinum,5222877,Driver error,2018-10-23,Auto,Unknown,Material and injury,20550.0,1,No,0
333,95452498,Female,1988-02-21,MI,391-537-8235,Silver,76523655,Other causes,2017-04-05,Auto,No,Material only,2219.5,1,Yes,1
334,22756942,Male,1982-10-09,FL,462-823-3126,Silver,70512964,Driver error,2017-01-01,Auto,Yes,Injury only,20310.0,1,No,1
335,62489316,Female,1993-08-15,GA,985-185-1659,Gold,13217364,Other causes,2017-08-31,Auto,No,Material only,2330.0,1,No,1
336,4825461,Female,1965-04-27,NE,791-473-9763,Platinum,6174643,Other driver error,2017-07-15,Auto,Yes,Material and injury,32960.0,1,No,1
337,63915259,Male,1986-05-22,GA,829-157-6239,Gold,89056979,Other causes,2018-09-26,Home,Yes,Material and injury,18530.0,1,No,1
338,6723724,Female,1989-04-20,AL,592-368-3149,Platinum,94690483,Natural causes,2017-09-27,Auto,Unknown,Material only,1679.0,1,Yes,0
339,51719336,Female,1966-07-06,AK,149-149-3164,Platinum,84029944,Other causes,2018-01-20,Home,Unknown,Material only,2070.0,1,Yes,0
340,89808931,Female,1989-07-22,WA,524-613-4786,Silver,52259939,Driver error,2018-07-20,Home,No,Material only,2750.0,1,No,1
341,55105629,Male,1981-02-06,TN,516-198-5127,Silver,40350951,Natural causes,2017-10-17,Auto,No,Material only,1860.0,1,No,1
342,79076502,Female,1977-12-30,NJ,259-527-3218,Silver,71274497,Other driver error,2017-10-31,Auto,Unknown,Material only,1380.0,1,No,0
343,81131066,Male,1968-11-01,AL,579-265-6183,Gold,49550521,Other causes,2017-12-30,Auto,No,Material only,1920.0,2,No,1
344,75995055,Female,1995-12-14,OK,845-854-5473,Gold,45433267,Other causes,2018-06-17,Auto,Yes,Injury only,36350.0,1,No,1
345,24425429,Female,1987-06-09,NC,894-913-8453,Gold,43558718,Natural causes,2018-10-16,Auto,No,Material only,1450.0,1,No,1
346,51382348,Male,1970-12-28,MT,594-728-3497,Silver,3465669,Natural causes,2017-02-23,Home,No,Injury only,39928.0,1,Yes,1
347,18842829,Male,1969-09-10,ME,561-158-4657,Platinum,79446773,Driver error,2017-03-02,Auto,No,Material only,2450.0,1,No,1
348,98180346,Male,1992-02-16,NV,685-872-4789,Platinum,172149,Other causes,2017-06-04,Auto,No,Material only,2810.0,1,No,1
349,53013094,Male,1976-06-07,PA,192-576-9158,Silver,52442756,Natural causes,2018-06-30,Auto,Unknown,Material only,12467.68,1,No,0
350,25263633,Male,1966-12-04,ND,536-497-6752,Silver,79612644,Other causes,2018-06-10,Auto,No,Material only,2470.0,2,No,1
351,16444738,Female,1990-02-18,TN,298-376-5293,Platinum,61900903,Other causes,2017-08-31,Auto,No,Material only,1207.5,1,Yes,1
352,64231993,Male,1982-07-15,CO,617-896-5736,Gold,15605014,Natural causes,2018-03-01,Home,No,Material and injury,29690.0,1,No,1
353,89530919,Male,1973-09-20,IL,938-684-9572,Gold,81628285,Driver error,2018-04-24,Auto,No,Material only,2450.0,1,No,1
354,38011078,Female,1976-05-20,NE,271-123-1475,Gold,98795403,Crime,2018-10-30,Auto,Unknown,Material only,1940.0,1,No,0
355,76314493,Female,1961-10-02,DE,389-764-4853,Silver,49252712,Other driver error,2017-09-14,Home,No,Material only,12467.68,1,No,1
356,51975640,Female,1982-05-10,NC,139-648-8714,Silver,60882662,Other driver error,2018-10-16,Auto,No,Material and injury,32150.0,2,No,1
357,47593642,Male,1970-06-20,HI,596-684-9786,Gold,35866339,Crime,2018-04-04,Auto,Unknown,Material only,1750.0,1,No,0
358,42439009,Female,1976-09-17,NV,591-218-5973,Gold,80529502,Driver error,2018-03-01,Auto,Unknown,Injury only,28950.0,1,No,0
359,51613894,Male,1988-01-02,MO,675-213-7462,Silver,41063309,Other causes,2018-03-28,Home,Unknown,Material and injury,12467.68,1,No,0
360,49078798,Male,1965-05-07,VT,168-931-2841,Gold,69278867,Natural causes,2018-02-02,Auto,No,Material only,1350.0,1,No,1
361,17822772,Male,1989-05-07,OK,428-196-6913,Platinum,49821811,Driver error,2018-03-14,Auto,Unknown,Injury only,33200.0,1,No,0
362,94643289,Male,1998-04-24,AK,317-612-1425,Silver,34596802,Driver error,2018-03-14,Auto,No,Material and injury,45287.0,1,Yes,1
363,47535244,Female,1961-09-16,TN,413-134-6842,Gold,3366766,Natural causes,2018-06-10,Auto,No,Material only,2530.0,1,Yes,1
364,70770204,Female,1984-01-17,CT,935-274-6725,Silver,18972174,Driver error,2018-04-17,Auto,Unknown,Injury only,28050.0,1,No,0
365,92171044,Male,1964-07-24,WI,156-514-3516,Gold,32084957,Driver error,2017-07-15,Auto,No,Material only,2277.0,1,Yes,1
366,98218159,Female,1976-09-02,PA,563-417-5261,Platinum,44626119,Other driver error,2017-12-10,Auto,No,Material only,2840.0,1,No,1
367,24112592,Male,1980-06-11,NV,916-185-5697,Platinum,18497939,Other driver error,2018-03-28,Auto,No,Material only,2130.0,1,No,1
368,97053819,Female,1997-05-06,NC,243-295-1862,Gold,2031695,Other causes,2018-06-03,Auto,No,Material only,2070.0,1,No,1
369,88484857,Male,1960-05-21,UT,189-845-2459,Silver,31272774,Other causes,2018-09-19,Auto,No,Material only,1900.0,1,No,1
370,89965541,Male,1967-06-19,MT,359-678-4658,Silver,62487859,Driver error,2017-12-10,Auto,No,Material only,2810.0,1,No,1
371,96431710,Female,1982-07-20,NM,349-214-6872,Gold,1374365,Crime,2017-08-24,Auto,No,Material and injury,24713.5,1,Yes,1
372,13059025,Female,1999-08-28,RI,624-716-1427,Platinum,33911305,Natural causes,2017-07-28,Auto,No,Material only,2220.0,1,No,1
373,49481916,Female,1996-03-28,SC,734-137-4865,Silver,3311108,Other causes,2018-09-19,Auto,No,Material only,12467.68,2,Yes,1
374,10956208,Male,1984-12-21,AZ,194-786-8173,Gold,28520503,Natural causes,2018-02-02,Auto,No,Material only,1210.0,1,No,1
375,43059280,Male,1994-12-16,RI,651-127-8152,Platinum,76387481,Natural causes,2017-06-25,Home,Yes,Material and injury,38970.0,1,No,1
376,92971195,Male,1975-02-02,DE,892-173-4657,Gold,92399694,Other driver error,2018-09-26,Home,No,Material only,1140.0,1,No,1
377,97578924,Male,1978-11-22,CO,654-176-5324,Platinum,49171996,Other causes,2018-08-23,Home,No,Material only,2360.0,1,No,1
378,81790039,Female,1995-06-22,HI,612-374-9851,Gold,33733739,Driver error,2017-03-22,Auto,No,Material and injury,19640.0,1,No,1
379,36812323,Male,1960-01-24,ND,237-257-3415,Silver,27931854,Other driver error,2017-01-27,Auto,Yes,Material and injury,14170.0,1,No,1
380,63544225,Female,1999-03-30,CO,934-658-2318,Platinum,86062955,Crime,2018-08-30,Auto,No,Material only,1100.0,1,No,1
381,4669941,Male,1982-08-03,AK,761-462-3458,Platinum,70068,Driver error,2017-11-06,Auto,Unknown,Injury only,29900.0,1,Yes,0
382,64395359,Female,1994-09-08,CA,968-896-9268,Silver,77337624,Other causes,2017-05-22,Auto,Yes,Injury only,20970.0,1,No,1
383,25634799,Female,1974-11-04,KS,724-781-3692,Platinum,36457152,Driver error,2017-01-01,Auto,No,Material only,2900.0,2,No,1
384,31654316,Female,1981-07-12,IN,683-351-1463,Gold,67359535,Other driver error,2017-04-05,Home,Unknown,Material and injury,35800.0,3,No,0
385,49499709,Male,1977-10-05,KS,827-152-3125,Silver,38907463,Driver error,2017-05-15,Auto,No,Material only,2130.0,2,No,1
386,45415342,Female,1996-03-12,DE,915-398-4596,Platinum,43384286,Other causes,2018-06-03,Auto,No,Material and injury,24080.0,1,No,1
387,72734097,Male,1960-03-16,MA,392-741-5178,Gold,18696192,Driver error,2017-07-01,Auto,Yes,Material and injury,34590.0,1,No,1
388,94707309,Female,1988-06-04,MA,835-123-6381,Gold,27981652,Crime,2017-02-17,Auto,No,Material only,1870.0,3,No,1
389,84750181,Female,1993-05-16,AK,419-431-6251,Platinum,34691767,Other driver error,2017-03-09,Home,No,Material only,2370.0,4,No,1
390,58380749,Female,1973-08-12,SC,672-491-4529,Silver,47497964,Other driver error,2017-12-10,Auto,Yes,Injury only,26130.0,1,No,1
391,42345842,Female,1975-01-21,NH,795-476-5347,Gold,6794881,Other causes,2017-12-24,Auto,Unknown,Material only,1150.0,1,Yes,0
392,54103924,Male,1985-03-08,NJ,794-849-1953,Gold,26044648,Driver error,2018-04-24,Auto,Unknown,Material and injury,23370.0,3,No,0
393,48099288,Female,1987-02-24,HI,918-942-6527,Gold,10605433,Other causes,2018-10-09,Auto,No,Material only,2090.0,1,No,1
394,57896241,Male,1996-09-11,VT,678-356-9671,Silver,11113092,Driver error,2017-04-05,Auto,Unknown,Material and injury,30420.0,1,No,0
395,70730377,Female,1978-01-28,CO,835-781-6495,Gold,83523623,Driver error,2018-03-14,Auto,No,Material only,2750.0,2,No,1
396,6125426,Female,1998-04-23,NE,317-978-1285,Silver,61143364,Other driver error,2018-01-13,Auto,No,Material only,12467.68,1,No,1
397,48227009,Male,1990-01-22,VA,593-164-6714,Gold,71246528,Natural causes,2018-01-20,Auto,No,Material only,1570.0,1,No,1
398,86308184,Female,1990-05-25,WV,613-849-3215,Platinum,66730599,Other driver error,2017-08-04,Auto,Yes,Material only,1110.0,1,No,1
399,69065193,Female,1980-09-26,MT,963-496-4127,Silver,94242984,Other driver error,2018-10-09,Auto,Unknown,Material and injury,36075.5,4,Yes,0
400,79846638,Female,1969-09-17,MO,248-215-1346,Platinum,95444389,Crime,2017-03-09,Auto,No,Material only,1260.0,1,No,1
